a\c	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.99270439768	[]	[]	[]
1	1	[]	[]	[]	1.51785070598	[]	[]	[]
2	0	[]	[]	1.93256971787	1.64616690332	1.93496520146	[]	[]
2	1	[]	[]	1.53808174722	0.816805022321	1.53945853626	[]	[]
3	0	[]	2.0366364563	1.60873302043	1.32092203964	1.60903903654	2.03675436715	[]
3	1	[]	1.76310244686	1.4803896721	0.807865705772	1.479351259	1.7628092421	[]
4	0	[]	[]	1.68700818955	1.52562563644	1.68470573649	[]	[]
4	1	[]	[]	1.67129430852	1.43844235486	1.66808578597	[]	[]
5	0	[]	[]	[]	1.7309573466	[]	[]	[]
5	1	[]	[]	[]	1.71336416072	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
