b\a	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	2.06022988199	[]	[]	[]
0	1	[]	[]	[]	1.78910599629	[]	[]	[]
1	0	[]	[]	1.99169631376	1.66460604997	1.74438343856	[]	[]
1	1	[]	[]	1.58662222275	1.52099879485	1.72735020686	[]	[]
2	0	[]	1.99270439768	1.64616690332	1.32092203964	1.52562563644	1.7309573466	[]
2	1	[]	1.51785070598	0.816805022321	0.807865705772	1.43844235486	1.71336416072	[]
3	0	2.0079017173	1.62815261858	0.931545698701	0.0	0.91977506304	1.49033053458	1.74766500422
3	1	1.73823814198	1.44719202096	0.807299379839	0.803858383051	1.42960948886	1.65529489534	1.99443690172
4	0	[]	1.73489412616	1.52449264539	1.30840843175	1.49590594633	1.57735178942	[]
4	1	[]	1.72557186216	1.5096814117	1.50160576005	1.65812055256	1.970275278	[]
5	0	[]	[]	1.73445203461	1.52501371666	1.5864977557	[]	[]
5	1	[]	[]	1.72466519563	1.67039146392	1.96929387965	[]	[]
6	0	[]	[]	[]	1.79519107556	[]	[]	[]
6	1	[]	[]	[]	2.04433607937	[]	[]	[]
