c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	2.08181330667	[]	[]	[]
0	1	[]	[]	[]	2.06900112986	[]	[]	[]
1	0	[]	[]	2.0366364563	1.65121492346	1.77503505471	[]	[]
1	1	[]	[]	1.76310244686	1.66348205265	2.02429321075	[]	[]
2	0	[]	2.02027899567	1.60873302043	1.46670056357	1.48226937509	1.75324188316	[]
2	1	[]	1.73812114756	1.4803896721	1.4690604916	1.62562061821	2.01206958422	[]
3	0	2.06022988199	1.66460604997	1.32092203964	0.0	1.30840843175	1.52501371666	1.79519107556
3	1	1.78910599629	1.52099879485	0.807865705772	0.803858383051	1.50160576005	1.67039146392	2.04433607937
4	0	[]	2.02053625164	1.60903903654	1.46676880245	1.48234462334	1.75357364943	[]
4	1	[]	1.7370724131	1.479351259	1.46803025173	1.62461512213	2.01141979008	[]
5	0	[]	[]	2.03675436715	1.65135528256	1.77519737273	[]	[]
5	1	[]	[]	1.7628092421	1.66319841407	2.02405719394	[]	[]
6	0	[]	[]	[]	2.08187623332	[]	[]	[]
6	1	[]	[]	[]	2.06889013287	[]	[]	[]
