b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.833762695473	[]	[]
1	1	[]	[]	0.771606986973	[]	[]
1	2	[]	[]	0.779092728645	[]	[]
1	3	[]	[]	0.704759617441	[]	[]
2	0	[]	0.772034070435	0.655108173321	0.671253118464	[]
2	1	[]	0.680454444966	0.664658748534	0.775644771883	[]
2	2	[]	0.638104507162	0.502178109349	0.58601533065	[]
2	3	[]	0.548260139226	0.592375805172	0.752828798718	[]
3	0	[]	[]	0.774863587522	[]	[]
3	1	[]	[]	0.838701121017	[]	[]
3	2	[]	[]	0.697974893752	[]	[]
3	3	[]	[]	0.809854497599	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
