a\c	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.69726531424	[]	[]
1	1	[]	[]	0.66969993617	[]	[]
1	2	[]	[]	0.659029535515	[]	[]
1	3	[]	[]	0.662983838533	[]	[]
2	0	[]	0.774863587522	0.539103915985	0.765449339184	[]
2	1	[]	0.838701121017	0.643424171884	0.826330118007	[]
2	2	[]	0.697974893752	0.542177527886	0.785856640877	[]
2	3	[]	0.809854497599	0.666564039321	0.853496629866	[]
3	0	[]	[]	0.565757456579	[]	[]
3	1	[]	[]	0.753275063487	[]	[]
3	2	[]	[]	0.611764810401	[]	[]
3	3	[]	[]	0.780866594239	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
