b\a	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	2.83575629305	[]	[]
1	1	[]	[]	1.40295627937	[]	[]
1	2	[]	[]	2.35933782676	[]	[]
1	3	[]	[]	2.61173762927	[]	[]
2	0	[]	2.81514492634	1.94747184092	2.82792202832	[]
2	1	[]	2.3571362169	0.971303450155	2.36024118892	[]
2	2	[]	2.37558293164	2.14986200498	2.46222798756	[]
2	3	[]	2.76470844252	2.21964116643	2.83700261442	[]
3	0	[]	[]	2.60916916222	[]	[]
3	1	[]	[]	2.24086252257	[]	[]
3	2	[]	[]	2.29038709344	[]	[]
3	3	[]	[]	2.7826641942	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
