

'=============================================================

 C60/C60_cation_neut_inner6_outer0/ReorgPlanes_shareq/C60_cation_neut_inner6_outer0_reorgs_shareq_planes_CENTRE_a.dat 

c\b	mol	0	1	2	3	4	5	6	7	8	9	10	11	12
0	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
1	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
2	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
3	3	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
4	0	[]	[]	[]	[]	1.26985728333	1.23925089268	1.22363079541	1.23380961308	1.26378083901	[]	[]	[]	[]
4	1	[]	[]	[]	[]	1.2537541598	1.22623017354	1.23187861973	1.25308325944	1.27998856769	[]	[]	[]	[]
4	2	[]	[]	[]	[]	1.25375402506	1.20925591759	1.18611543488	1.20823718819	1.25083152253	[]	[]	[]	[]
4	3	[]	[]	[]	[]	1.23368889784	1.18555853769	1.18611539119	1.2245915747	1.26546004567	[]	[]	[]	[]
5	0	[]	[]	[]	[]	1.23925291031	1.17489987758	1.08402977321	1.14862287605	1.2335447024	[]	[]	[]	[]
5	1	[]	[]	[]	[]	1.20925771568	1.10956532479	1.15833822944	1.22219495473	1.2602698895	[]	[]	[]	[]
5	2	[]	[]	[]	[]	1.2262323971	1.10956844911	0.906570556103	1.10906246084	1.22495170649	[]	[]	[]	[]
5	3	[]	[]	[]	[]	1.18556072161	0.988423467503	0.906564236422	1.16649799101	1.24801151141	[]	[]	[]	[]
6	0	[]	[]	[]	[]	1.22363469806	1.08403748347	0.0	1.08364707648	1.22268456219	[]	[]	[]	[]
6	1	[]	[]	[]	[]	1.1861193428	0.90656981588	0.656661084747	1.21597463595	1.25394612143	[]	[]	[]	[]
6	2	[]	[]	[]	[]	1.23188145457	1.15834345709	0.656641237126	1.15795804137	1.23093602884	[]	[]	[]	[]
6	3	[]	[]	[]	[]	1.18611799774	0.906559222495	0.656592816572	1.21597029854	1.25394543083	[]	[]	[]	[]
7	0	[]	[]	[]	[]	1.23381160251	1.1486228571	1.08363934747	1.17381708026	1.23673580873	[]	[]	[]	[]
7	1	[]	[]	[]	[]	1.20823905906	1.10905969161	1.15795362123	1.22162508375	1.25904494094	[]	[]	[]	[]
7	2	[]	[]	[]	[]	1.25308342784	1.22219167244	1.21596422301	1.22162158814	1.25159078785	[]	[]	[]	[]
7	3	[]	[]	[]	[]	1.22459130931	1.16649191712	1.21596164715	1.24843385528	1.26828855383	[]	[]	[]	[]
8	0	[]	[]	[]	[]	1.26378080329	1.23354266178	1.22268062658	1.23673377766	1.26318464347	[]	[]	[]	[]
8	1	[]	[]	[]	[]	1.25083170032	1.22494960991	1.23093336674	1.25159071229	1.27625109604	[]	[]	[]	[]
8	2	[]	[]	[]	[]	1.27998717858	1.26026649571	1.25394113941	1.25904150965	1.27624968301	[]	[]	[]	[]
8	3	[]	[]	[]	[]	1.26545876907	1.24800800338	1.25394136685	1.26828681192	1.28760962145	[]	[]	[]	[]
9	0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
9	2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
