[[-0.9066146  -0.42952266 -5.40947749]]
[[-0.72454547 -0.13430168  2.47521476]]
[[ -5.70092921  -8.40172048 -14.77285468]]
[[-4.81317911 -2.00408766  9.59457615]]
[[ 0.09931705  0.07079439  0.32950235]]
[[ 0.13796692  0.08284395 -0.01603   ]]
[[  2.43922757e-03   4.93507814e-05  -7.15399178e-02]]
[[ 0.06633386 -0.07225399 -0.12296842]]
[[ 0.03555619 -0.01099145 -0.07991159]]
[[-0.01860568  0.0001031  -0.07813378]]
[[-0.04949787  0.00283389 -0.10757568]]
[[-0.05820555  0.06614512 -0.12625568]]
[[-0.04612116  0.0799659  -0.20515245]]
[[ 0.04231222  0.05389331 -0.19856391]]
[[-0.08245778 -0.02630929 -0.21817586]]
[[-0.00427142 -0.20017594 -0.16232959]]
[[-0.02174495 -0.09025659 -0.14353784]]
[[  4.43907803e-07   2.23783607e-07  -5.07825057e-06]]
[[  1.24718092e-05  -8.56813661e-06  -1.28139738e-05]]
[[  3.13856051e-06   1.21918205e-06  -4.90020806e-06]]
[[ -1.57545152e-06   1.37523060e-07  -4.24722939e-06]]
[[ -1.94865959e-06   5.12355149e-06  -6.36166264e-06]]
[[  2.69184783e-06   3.92482019e-06  -7.42667906e-06]]
[[  1.27837325e-05  -2.92381161e-05  -9.59628379e-06]]
[[ 0.12961129 -0.05920551 -0.18673049]]
[[ 0.07312128 -0.04765922 -0.1983944 ]]
[[ 0.22843197 -0.07913546 -0.18402742]]
[[ 0.13813424 -0.12816306 -0.06823398]]
[[  7.55972449e-06  -3.90093173e-06  -1.67399344e-06]]
[[ 0.25432433 -0.10214984 -0.0486724 ]]
[[ 0.12933025 -0.13060609 -0.01459178]]
[[  7.83174394e-06  -1.03446277e-05  -2.44134638e-06]]
[[ 0.18873773 -0.12300048  0.0142618 ]]
[[  1.65594918e-05  -7.42331713e-07  -2.98382896e-06]]
[[ 0.0656432  -0.08627306  0.00748218]]
[[ 0.11666065 -0.06275879  0.04282879]]
[[ 0.04252946 -0.05109044  0.02397864]]
[[  4.33877024e-06  -7.05332365e-06  -8.25586917e-07]]
[[ 0.0623393  -0.03980829  0.03758724]]
[[  8.21522994e-06  -2.30599795e-06   3.80020968e-06]]
[[  1.34662017e-06  -2.99057564e-06   1.99430672e-06]]
[[  3.71586705e-06  -1.07192875e-06   3.27854000e-06]]
