[[-0.10051543 -0.00860411  0.04461141]]
[[-0.11670263  0.04814204  0.04265193]]
[[-0.11892394 -0.09073345  0.0550247 ]]
[[-0.28514069 -0.09350596  0.0646069 ]]
[[-0.24182327  0.26506609 -0.01281466]]
[[-0.08011094  0.23099504 -0.02449335]]
[[-0.19692884 -0.01516346  0.05218627]]
[[-0.2817955   0.16784187  0.0585148 ]]
[[-0.0108908  -0.00057373  0.06086888]]
[[-0.0080301   0.00438538  0.05747234]]
[[-0.11444039  0.06939479  0.03908347]]
[[-0.07586774  0.12061084  0.03574728]]
[[-0.03935708 -0.11094005  0.05030383]]
[[-0.04458533 -0.18726572  0.047108  ]]
[[-0.00340078 -0.00624581 -0.02836724]]
[[ 0.96523985  1.281272   -0.11997268]]
[[-0.18070936 -0.27447523  0.06253069]]
[[-0.93337852 -1.21853293  0.13142365]]
[[-0.00587292 -0.006478    0.06094817]]
[[-0.00306836 -0.00230504  0.05579534]]
[[-0.00295109  0.00496523 -0.0819306 ]]
[[ 0.00058218  0.01008188 -0.07188566]]
[[-0.03538696  0.61926224 -0.03103762]]
[[ 0.03655271  0.22941471 -0.03130077]]
[[-1.01294366 -0.10601874  0.14304138]]
[[-0.92245999  1.44112775  0.14616558]]
[[-0.0054563   0.00031193  0.05602572]]
[[-0.00289731  0.00384234  0.05285602]]
[[-0.00266856 -0.00024036  0.02891108]]
[[-0.00172857  0.00123896  0.02742928]]
[[-0.01953776  0.14181521 -0.03342462]]
[[ 0.00215965  0.10283717 -0.03303501]]
[[-0.18250893  0.24170204  0.04397833]]
[[-0.04140926  0.20156613  0.03348131]]
[[-0.0054756   0.00651527  0.05521613]]
[[-0.00305534  0.01014281  0.05371541]]
[[-0.03558461  0.10297239  0.02850489]]
[[-0.01114734  0.09166591  0.02583858]]
[[-0.00058063 -0.08060822  0.03939616]]
[[ 0.01346542 -0.09361548  0.03807552]]
[[ 0.19831987 -0.31302761 -0.04936138]]
[[ 0.31715771 -0.2281448  -0.06269344]]
[[ 0.00197346 -0.12292877  0.04398901]]
[[ 0.0466543  -0.19626863  0.0381159 ]]
[[-0.00108647 -0.01281999  0.06071262]]
[[ 0.00141445 -0.00973442  0.05842227]]
[[ 0.00477853 -0.00485153 -0.08583164]]
[[ 0.00793523 -0.00030531 -0.07670958]]
[[ 1.082201    0.09584169 -0.1433676 ]]
[[ 0.32915829  0.10811616 -0.05680996]]
[[ 0.00498573 -0.54779144  0.04916759]]
[[ 0.9278638  -1.42937423 -0.06774014]]
[[-0.00078176 -0.00555949  0.05658006]]
[[ 0.00150497 -0.00268837  0.05354371]]
[[-0.00083654 -0.00249255  0.02978906]]
[[  6.09640461e-05  -1.40049781e-03   2.80800991e-02]]
[[ 0.00098082  0.00050891 -0.03380904]]
[[ 0.00189511  0.00175621 -0.03305072]]
[[ 0.00425347  0.00545827 -0.07330251]]
[[ 0.00699073  0.00857665 -0.06576612]]
[[ 0.20024052  0.32620793 -0.04893832]]
[[ 0.08780127  0.12366583 -0.03570061]]
[[ 0.00301559  0.00738534  0.04008712]]
[[ 0.93923902  1.23062718 -0.05181346]]
[[-0.00066767  0.000935    0.05257033]]
[[ 0.00152383  0.00333986  0.05110976]]
[[ -8.30432211e-04  -1.82368280e-05   2.67596174e-02]]
[[  6.24819475e-05   1.04018314e-03   2.66265959e-02]]
[[ -4.72530355e-04  -1.32334084e-05   1.73361807e-02]]
[[ -9.79324208e-05   4.22265099e-04   1.73185719e-02]]
[[ 0.00331293  0.01344174 -0.06567654]]
[[ 0.00599377  0.01577062 -0.06207619]]
[[ 0.03248354  0.12872302 -0.03494758]]
[[ 0.02953662  0.08329943 -0.03402701]]
[[ 0.00060857  0.55831854  0.02756632]]
[[ 0.04734249  0.19048152  0.02754501]]
[[-0.00071456  0.00688134  0.05123759]]
[[ 0.00147481  0.00944744  0.05148107]]
[[-0.00083993  0.00243197  0.02756684]]
[[ 0.00010727  0.00353095  0.02898277]]
[[ 0.0091648   0.08236294 -0.03517654]]
[[ 0.01453019  0.06710848 -0.03445141]]
[[ 0.00118776  0.1244383   0.02474591]]
[[ 0.01328728  0.08739288  0.02325831]]
[[-0.00093719  0.01329409  0.05256697]]
[[ 0.00150548  0.01564187  0.0526133 ]]
[[-0.00016372  0.07719415  0.02115645]]
[[ 0.00760932  0.06580228  0.01996843]]
[[ 0.03981892 -0.09911221  0.0389644 ]]
[[ 0.0800977  -0.11458157  0.03450259]]
[[ 0.23435319  0.00326097 -0.0509026 ]]
[[ 0.14314941  0.01215288 -0.04323583]]
[[ 0.18753319 -0.23081999  0.02959439]]
[[ 0.28488483 -0.15662868  0.01578185]]
[[ 0.00386043 -0.00502205  0.05681185]]
[[ 0.00611039 -0.00333896  0.05549385]]
[[ 0.01056629  0.00542772 -0.06915254]]
[[ 0.01295848  0.0069828  -0.0650981 ]]
[[ 0.13715382  0.10913314 -0.04154313]]
[[ 0.08201323  0.05750855 -0.03766983]]
[[ 1.01712236  0.12010978 -0.0649204 ]]
[[ 0.28572343  0.10348028  0.01311277]]
[[ 0.00370025  0.00140835  0.0521269 ]]
[[ 0.00595585  0.00277477  0.05242795]]
[[ 0.00096449  0.00017706  0.02762947]]
[[ 0.0019203   0.00084144  0.02879708]]
[[ 0.05510879  0.09062152 -0.03683332]]
[[ 0.04542578  0.06081147 -0.03731855]]
[[ 0.1825702   0.28273573  0.01569783]]
[[ 0.07736972  0.10094772  0.0247501 ]]
[[ 0.00362891  0.00733702  0.05132698]]
[[ 0.00618641  0.00898603  0.05374772]]
[[ 0.03611219  0.10892973  0.02272166]]
