[[-0.20372353  0.00360562  0.01108528]]
[[-0.21851867  0.12869491  0.01207655]]
[[-0.39807832 -0.25274455  0.02997277]]
[[-1.29119645  0.02316785  0.12166012]]
[[-0.01214828  0.00034567 -0.08740474]]
[[-0.00793571  0.00820731 -0.08140678]]
[[-0.47285111  0.08371537  0.03117944]]
[[-0.45386165  0.43844897  0.03608801]]
[[-0.01483603  0.000689    0.08803102]]
[[-0.01035351  0.00781381  0.08203691]]
[[-0.18090664  0.15618259  0.00753365]]
[[-0.10311279  0.20860768  0.00672595]]
[[-0.0839048  -0.30332639  0.00828632]]
[[-0.04192176 -0.73380595 -0.00371288]]
[[-0.00480008 -0.00843571 -0.08897446]]
[[-0.00081277 -0.00159645 -0.08094284]]
[[-1.09800899 -1.7031994   0.12451916]]
[[-0.92691464 -1.21480484  0.08718971]]
[[-0.00716298 -0.00818194  0.08932881]]
[[-0.00284059 -0.00216672  0.08095898]]
[[-0.00164714 -0.00022308 -0.03838379]]
[[-0.00037902  0.00201402 -0.03610394]]
[[-0.0042839   0.00171863 -0.08060199]]
[[-0.00062032  0.00742119 -0.07457111]]
[[-1.94108888  1.11919949  0.18883567]]
[[-0.91609373  1.98610959  0.11378825]]
[[-0.00646171  0.00210783  0.08092708]]
[[-0.00260245  0.00697628  0.07479513]]
[[-0.0034359  -0.00012661  0.03786835]]
[[-0.00212975  0.00188599  0.03582239]]
[[-0.00426759  0.01073796 -0.07709493]]
[[-0.00084069  0.01638915 -0.07289925]]
[[-0.22136866  0.41635453  0.01113874]]
[[-0.03789764  0.30348526  0.00472388]]
[[-0.00650224  0.01122133  0.07717526]]
[[-0.00297733  0.01603284  0.07324207]]
[[-0.04315704  0.16662724  0.00077344]]
[[-0.00998551  0.13951473  0.00201092]]
[[ 0.00686825 -0.15065734  0.00149216]]
[[ 0.04367328 -0.1857762  -0.00335958]]
[[ 0.00230649 -0.01840869 -0.08722762]]
[[ 0.00598772 -0.01299023 -0.0840753 ]]
[[ 0.04726418 -0.30005646  0.00045873]]
[[ 0.22545878 -0.46386428 -0.01862263]]
[[-0.00010712 -0.01792369  0.0873557 ]]
[[ 0.00372809 -0.01334235  0.0835162 ]]
[[ 0.00087411 -0.00337957 -0.03904088]]
[[ 0.0020899  -0.00164846 -0.03659782]]
[[ 0.00261813 -0.00716179 -0.08188751]]
[[ 0.00594222 -0.00229999 -0.07652514]]
[[ 0.94457708 -1.76527412 -0.08244457]]
[[ 1.94035894 -1.53928617 -0.21005922]]
[[ 0.00053777 -0.00671005  0.08176199]]
[[ 0.003945   -0.00271832  0.07601792]]
[[-0.00089627 -0.00325868  0.03902028]]
[[ 0.00035485 -0.00177667  0.03672082]]
[[  4.77874086e-04  -4.31416901e-05  -2.15974049e-02]]
[[ 0.00096307  0.00066085 -0.02140953]]
[[  8.56755300e-04   7.62129548e-05  -3.51152251e-02]]
[[ 0.00207177  0.0016964  -0.03449   ]]
[[ 0.00262893  0.00265476 -0.07499083]]
[[ 0.00581399  0.00662252 -0.07111678]]
[[ 0.92935973  1.44030606 -0.10891635]]
[[ 1.12042932  1.45858892 -0.09733812]]
[[ 0.00072817  0.00302539  0.07475363]]
[[ 0.00386532  0.00612548  0.0708582 ]]
[[-0.00088758  0.00018258  0.03502435]]
[[ 0.00035445  0.00160805  0.03466274]]
[[ -5.40530069e-04   2.09250129e-05   2.15630868e-02]]
[[ -4.49056509e-05   5.88206044e-04   2.15070622e-02]]
[[ 0.00081186  0.0034634  -0.03593132]]
[[ 0.00210204  0.00515962 -0.03712684]]
[[ 0.00248788  0.01131439 -0.07088672]]
[[ 0.00560656  0.0152861  -0.06885412]]
[[ 0.04467992  0.74173904 -0.00874587]]
[[ 0.07907669  0.26914768 -0.00119314]]
[[ 0.0005171   0.01163388  0.07060196]]
[[ 0.00355101  0.01482429  0.06896018]]
[[-0.00090151  0.00357579  0.03578475]]
[[ 0.00041082  0.00504099  0.03732973]]
[[ 0.0020769   0.02019467 -0.07004092]]
[[ 0.0054366   0.02360887 -0.06758945]]
[[ 0.01174121  0.1883703  -0.00196209]]
[[  2.46314623e-02   1.28898003e-01   4.68858342e-05]]
[[ -4.95035455e-05   2.05385107e-02   6.96804250e-02]]
[[ 0.0032985   0.0232441   0.06788908]]
[[ 0.00362982  0.11358096 -0.00095926]]
[[  1.31048408e-02   9.27817906e-02  -6.48284488e-05]]
[[ 0.10963012 -0.18586744 -0.00327197]]
[[ 0.18173296 -0.19291461 -0.00992295]]
[[ 0.00961465 -0.0064617  -0.08045096]]
[[ 0.01291745 -0.00340944 -0.07736084]]
[[ 0.46487877 -0.32322182 -0.0293191 ]]
[[ 0.46699595 -0.17365037 -0.03094338]]
[[ 0.00734184 -0.00586199  0.07998153]]
[[ 0.01055235 -0.00369497  0.07654973]]
[[ 0.00334347  0.00033572 -0.03559824]]
[[ 0.00464971  0.00143355 -0.03665543]]
[[ 0.00915242  0.0032701  -0.07293771]]
[[ 0.01241494  0.00562081 -0.071319  ]]
[[ 1.2919416   0.27825994 -0.12208073]]
[[ 0.38603272  0.15966412 -0.0226878 ]]
[[ 0.00704904  0.0036089   0.07224581]]
[[ 0.01014964  0.00514658  0.07077272]]
[[ 0.00161223  0.0004524   0.0359604 ]]
[[ 0.00293883  0.0013272   0.0372143 ]]
[[ 0.00883119  0.01188452 -0.06972564]]
[[ 0.012461    0.01447668 -0.07058007]]
[[ 0.25031862  0.38198126 -0.01850972]]
[[ 0.11507986  0.14668643 -0.00353258]]
[[ 0.00673311  0.01207842  0.06913581]]
[[ 0.01021797  0.01393941  0.07042133]]
[[ 0.05817798  0.16028166 -0.00376262]]
[[ 0.05154218  0.10403419 -0.00212226]]
[[ 0.2148897  -0.0730659  -0.00883603]]
[[ 0.18934748 -0.04621551 -0.00826618]]
[[ 0.01619966  0.00365993 -0.07464657]]
[[ 0.01954295  0.00463286 -0.07363857]]
[[ 0.29134754  0.06414547 -0.0147099 ]]
[[ 0.17074029  0.03990246 -0.00662313]]
[[ 0.01371318  0.00402024  0.07380483]]
[[ 0.01705094  0.00421457  0.07298986]]
[[ 0.1639394   0.14043856 -0.00814113]]
[[ 0.10473251  0.0780177  -0.00464108]]
[[ 0.14814428  0.03003834 -0.00686014]]
[[ 0.11756876  0.01732521 -0.00645668]]
