[[-0.20095274 -0.05495347  0.01090104]]
[[-0.29973751  0.06025809  0.01696748]]
[[-0.18507272 -0.20145556  0.01143699]]
[[-0.45854034 -0.33018707  0.02965305]]
[[-0.01192364 -0.00425996 -0.08685569]]
[[-0.00787622  0.00353862 -0.08350388]]
[[-0.46696304 -0.1801958   0.03223085]]
[[-1.28500862  0.27084876  0.12229335]]
[[-0.01459333 -0.00390399  0.08771692]]
[[-0.01026154  0.0031675   0.08422178]]
[[-0.38826483  0.15783561  0.02444515]]
[[-0.24849844  0.38428168  0.01968222]]
[[-0.04777825 -0.18173681  0.00447263]]
[[ -4.22742962e-02  -2.95622970e-01   1.82467679e-05]]
[[-0.00458631 -0.01290977 -0.08301878]]
[[-0.00074134 -0.00643505 -0.07769206]]
[[-0.21665941 -0.46504257  0.01877367]]
[[-0.9299407  -1.76992738  0.08194848]]
[[-0.0068919  -0.0126659   0.08355548]]
[[-0.00271607 -0.00693989  0.07772787]]
[[-0.00163621 -0.00118212 -0.03830164]]
[[-0.00036233  0.0010701  -0.03636339]]
[[-0.00408371 -0.00309827 -0.07985963]]
[[-0.00053747  0.00263189 -0.07643461]]
[[-1.92873824 -1.54491714  0.21017238]]
[[-0.91666952  1.43113782  0.10853905]]
[[-0.00620373 -0.00267769  0.08036926]]
[[-0.00243863  0.00222824  0.07663019]]
[[-0.00341894 -0.00106552  0.03782679]]
[[-0.00211743  0.00095342  0.03607778]]
[[-0.00419536  0.00618773 -0.08151041]]
[[-0.00071047  0.01229439 -0.07936067]]
[[-1.10963718  1.45389035  0.097467  ]]
[[-0.03426415  0.73748839  0.00863695]]
[[-0.00638011  0.00679599  0.08176213]]
[[-0.00281347  0.01195101  0.07961201]]
[[-0.07558957  0.27504996  0.00194643]]
[[-0.00892894  0.19474139  0.00263294]]
[[ 0.00197836 -0.11798771  0.00117677]]
[[ 0.0227597  -0.14077368 -0.00225446]]
[[ 0.00205286 -0.0215909  -0.07770297]]
[[ 0.00557076 -0.01690416 -0.07658339]]
[[ 0.01189938 -0.1892752   0.00139139]]
[[ 0.07617246 -0.28636294 -0.00573735]]
[[-0.00021517 -0.02120121  0.07804135]]
[[ 0.00343175 -0.01723241  0.07613054]]
[[ 0.00085956 -0.00434934 -0.03829386]]
[[ 0.00208023 -0.00261071 -0.03620068]]
[[ 0.00254775 -0.01164106 -0.07624411]]
[[ 0.00577467 -0.00698913 -0.07349478]]
[[ 0.05070442 -0.72677429  0.00408521]]
[[ 1.10485135 -1.70409046 -0.1234985 ]]
[[ 0.00053257 -0.01119802  0.07633537]]
[[ 0.00385    -0.00731518  0.07301855]]
[[-0.00087877 -0.00423018  0.03831433]]
[[ 0.00036615 -0.0027432   0.0363198 ]]
[[ 0.00048293 -0.00036934 -0.02158075]]
[[ 0.00096836  0.00033841 -0.0214754 ]]
[[ 0.00087553 -0.00086759 -0.0350247 ]]
[[ 0.00209528  0.00077013 -0.03472802]]
[[ 0.00270689 -0.0021965  -0.07424334]]
[[ 0.00592973  0.00192051 -0.07281268]]
[[ 0.94092111 -1.22123207 -0.08745202]]
[[ 1.95066792  1.10871113 -0.18856683]]
[[ 0.00087715 -0.00174238  0.07413416]]
[[ 0.00404632  0.00149174  0.07240622]]
[[-0.0008605  -0.00075697  0.03496456]]
[[ 0.00037518  0.000677    0.03489695]]
[[-0.00053391 -0.00030507  0.02155881]]
[[ -4.10287102e-05   2.63523824e-04   2.15746196e-02]]
[[ 0.00085094  0.00252892 -0.03648257]]
[[ 0.00214585  0.004254   -0.03799385]]
[[ 0.00269877  0.00681125 -0.07487524]]
[[ 0.00599873  0.01129495 -0.07475471]]
[[ 0.92703583  1.9793451  -0.11391131]]
[[ 0.22922703  0.40998257 -0.01108549]]
[[ 0.00079668  0.0072367   0.07460019]]
[[ 0.00394585  0.01078798  0.07463778]]
[[-0.00087792  0.00264989  0.03635994]]
[[ 0.0004284   0.00412871  0.03819625]]
[[ 0.00244429  0.0168082  -0.07788018]]
[[ 0.0060304   0.02113563 -0.07636803]]
[[ 0.04604616  0.30352483 -0.00470491]]
[[ 0.04626488  0.16550643 -0.00034179]]
[[ 0.00028375  0.01722893  0.077474  ]]
[[ 0.00377398  0.02065898  0.07654043]]
[[ 0.00979775  0.14472798 -0.00132706]]
[[ 0.02003063  0.11171934 -0.00017687]]
[[ 0.06069445 -0.15013843 -0.00136558]]
[[ 0.11554344 -0.17336809 -0.00652619]]
[[ 0.0092021  -0.01079876 -0.07517633]]
[[ 0.01255    -0.00778362 -0.0745266 ]]
[[ 0.25428546 -0.32054096 -0.01244964]]
[[ 0.38277722 -0.24074029 -0.02582015]]
[[ 0.00704749 -0.01021628  0.07494207]]
[[ 0.01028732 -0.00800123  0.07373059]]
[[ 0.00335747 -0.00058697 -0.0355019 ]]
[[ 0.00466838  0.0005339  -0.03688639]]
[[ 0.00911883 -0.00137039 -0.07224091]]
[[ 0.01258193  0.00124349 -0.07290555]]
[[ 1.29278756  0.01728635 -0.12025243]]
[[ 0.46699045  0.07606638 -0.02905809]]
[[ 0.0070793 -0.0009292  0.0716281]]
[[ 0.01032807  0.00082011  0.07216344]]
[[ 0.00163607 -0.00048211  0.03588835]]
[[ 0.00295602  0.00040658  0.03744527]]
[[ 0.00920084  0.00760159 -0.07340956]]
[[ 0.01305915  0.01074504 -0.07608547]]
[[ 0.45756175  0.43052574 -0.03541571]]
[[ 0.17944517  0.14995321 -0.00647546]]
[[ 0.00710829  0.00786076  0.07271633]]
[[ 0.01073296  0.01011256  0.07569453]]
[[ 0.10579677  0.20447939 -0.0061418 ]]
[[ 0.0756287   0.11759417 -0.0029088 ]]
[[ 0.16685106 -0.10075389 -0.00646749]]
[[ 0.17071479 -0.07561362 -0.00782224]]
[[ 0.01610002 -0.00056456 -0.07400193]]
[[ 0.01971444  0.00075318 -0.07507522]]
[[ 0.29079061  0.00525398 -0.01424202]]
[[ 0.18675329  0.00718052 -0.00742309]]
[[ 0.01366246 -0.00015424  0.07320692]]
[[ 0.01719306  0.00031502  0.07427828]]
[[ 0.20934998  0.12319603 -0.0098573 ]]
[[ 0.13070043  0.0668399  -0.00559738]]
[[ 0.14722738  0.00541551 -0.00657373]]
[[ 0.1230767   0.00077967 -0.00675902]]
