[[-0.13327092 -0.05830616  0.00894731]]
[[-0.16993232 -0.01445047  0.01008752]]
[[-0.12952321 -0.13592753  0.00867049]]
[[-0.29839239 -0.15432428  0.02028049]]
[[-0.01347953 -0.01208238 -0.07801467]]
[[-0.00992287 -0.00529426 -0.08003461]]
[[-0.22582808 -0.08940253  0.01440925]]
[[-0.32487505  0.05756734  0.02386285]]
[[-0.01608438 -0.01101705  0.07817098]]
[[-0.01259463 -0.00487235  0.07949165]]
[[-0.20788972 -0.06161777  0.01452513]]
[[-0.29311753 -0.14437119  0.02399631]]
[[-0.0416963  -0.13873101  0.00389862]]
[[-0.04594134 -0.22463287  0.00097893]]
[[-0.00562353 -0.01862394 -0.06956914]]
[[-0.00194758 -0.01362509 -0.06777674]]
[[-0.18483041 -0.32511285  0.01623334]]
[[-0.93537028 -1.28733025  0.08709146]]
[[-0.00796987 -0.01797758  0.07011926]]
[[-0.00424312 -0.01355752  0.06758279]]
[[-0.00193538 -0.00289042 -0.03738084]]
[[-0.00064889 -0.00066259 -0.03618424]]
[[-0.00544675 -0.0116142  -0.07254819]]
[[-0.0019418  -0.00679128 -0.07434816]]
[[-1.02610393 -0.19980528  0.10370784]]
[[-0.92674513  1.29969054  0.10888064]]
[[-0.00795155 -0.01067727  0.07265267]]
[[-0.00450897 -0.00652793  0.0738869 ]]
[[-0.00371624 -0.00267363  0.03672864]]
[[-0.00244439 -0.00068642  0.03563979]]
[[-0.00616247 -0.00405796 -0.08403464]]
[[-0.00230954  0.00229547 -0.08866896]]
[[-0.23767377  0.00990975  0.01799567]]
[[-0.04842527 -0.39878642  0.00229561]]
[[-0.00898168 -0.0028247   0.08318525]]
[[-0.00531313  0.00260373  0.08745749]]
[[-0.99162349 -1.38082142  0.12220475]]
[[-0.01452924  0.07525005  0.01078661]]
[[-0.00138352 -0.09510093  0.00117173]]
[[ 0.01325796 -0.11320555 -0.00153272]]
[[ 0.00082192 -0.02422111 -0.06344228]]
[[ 0.00412468 -0.02094712 -0.06385116]]
[[ 0.00182323 -0.15045163  0.00151491]]
[[ 0.0483847  -0.2323162  -0.00418303]]
[[-0.00130374 -0.02374508  0.06393806]]
[[ 0.00199067 -0.02106557  0.06345786]]
[[ 0.00056699 -0.00588723 -0.03645547]]
[[ 0.00179577 -0.00418481 -0.0350004 ]]
[[ 0.00136416 -0.01747368 -0.06444337]]
[[ 0.00458947 -0.01404601 -0.06480186]]
[[ 0.00703884 -0.59817211  0.00550496]]
[[ 0.93654733 -1.4947256  -0.10950331]]
[[-0.00082104 -0.01690084  0.06473443]]
[[ 0.00233404 -0.01409682  0.0644607 ]]
[[-0.00114817 -0.00569921  0.03637062]]
[[  6.75746331e-05  -4.24494569e-03   3.49511388e-02]]
[[ 0.00038186 -0.00095937 -0.02138175]]
[[ 0.00086641 -0.00024312 -0.02144696]]
[[ 0.00061983 -0.0025633  -0.03429687]]
[[ 0.00185062 -0.00094893 -0.03468174]]
[[ 0.00168862 -0.0108744  -0.06816875]]
[[ 0.00526316 -0.00747033 -0.07140103]]
[[ 0.01180218 -0.08560926  0.00079365]]
[[ 0.97218072  1.10691979 -0.08912112]]
[[-0.00069397 -0.01015169  0.06821343]]
[[ 0.00269057 -0.00745127  0.07102041]]
[[-0.00114547 -0.00239076  0.0340938 ]]
[[  6.13560431e-05  -9.85928661e-04   3.46487108e-02]]
[[-0.00063808 -0.00087892  0.02127392]]
[[-0.000157   -0.00030526  0.02143902]]
[[ 0.0006133   0.00063419 -0.03697048]]
[[ 0.00191875  0.00237459 -0.03922087]]
[[ 0.00186767 -0.00348395 -0.07821642]]
[[ 0.00591507  0.00126266 -0.08406543]]
[[ 0.0469824   0.33667076 -0.00449781]]
[[ 0.23867028 -0.12719474 -0.01579042]]
[[-0.00090862 -0.00258481  0.07770101]]
[[ 0.00285806  0.00128688  0.08346704]]
[[-0.00119926  0.00080901  0.03663746]]
[[  7.55935691e-05   2.28466747e-03   3.91583646e-02]]
[[ 0.00178205  0.00710136 -0.09324431]]
[[ 0.0062922   0.01321811 -0.09683105]]
[[ 0.95139175 -1.14255052 -0.08573741]]
[[ 1.05424469 -0.04586818 -0.10169274]]
[[-0.00148079  0.00803375  0.0917742 ]]
[[ 0.00279558  0.01301752  0.09585866]]
[[ 0.93448464  1.54133808 -0.10478226]]
[[ 0.20016088  0.33772449 -0.00838892]]
[[ 0.04139961 -0.1249861  -0.00075425]]
[[ 0.08446672 -0.14702246 -0.00513083]]
[[ 0.00778374 -0.01646546 -0.06440888]]
[[ 0.01128523 -0.01432645 -0.06649146]]
[[ 0.19438844 -0.27529067 -0.01031877]]
[[ 0.29966918 -0.21030267 -0.02199275]]
[[ 0.00552872 -0.01598928  0.06451429]]
[[ 0.00886257 -0.01452823  0.06599362]]
[[ 0.00310779 -0.00225919 -0.03488019]]
[[ 0.00441942 -0.00115057 -0.0369112 ]]
[[ 0.00835762 -0.00960123 -0.06690642]]
[[ 0.01238903 -0.0074657  -0.0717033 ]]
[[ 1.04051762  0.04605615 -0.10174414]]
[[ 0.32914226  0.0185531  -0.02141332]]
[[ 0.00589596 -0.00912564  0.06686834]]
[[ 0.00966983 -0.00770703  0.07138088]]
[[ 0.00133342 -0.00213301  0.03515579]]
[[ 0.00261622 -0.00126135  0.03732037]]
[[ 0.0093408  -0.00216045 -0.07674845]]
[[ 0.01389313  0.00127368 -0.08455546]]
[[ 0.26202622  0.16009277 -0.01716012]]
[[ 0.19801822 -0.01373441 -0.00925426]]
[[ 0.00647863 -0.00161689  0.0765213 ]]
[[ 0.01073985  0.00092675  0.08439728]]
[[ 0.34041957 -0.01633283 -0.02251206]]
[[ 0.25113528  0.04023701 -0.01483189]]
[[ 0.12676389 -0.09585643 -0.00512304]]
[[ 0.13261087 -0.07992498 -0.00668397]]
[[ 0.01536571 -0.00793305 -0.06904265]]
[[ 0.01951152 -0.00685694 -0.07376397]]
[[ 0.22278367 -0.02484354 -0.01155215]]
[[ 0.15371097 -0.03272702 -0.0071103 ]]
[[ 0.01274256 -0.00767308  0.06890727]]
[[ 0.01677552 -0.00736267  0.0734501 ]]
[[ 0.17778274  0.03210539 -0.00819744]]
[[ 0.14585014 -0.00041884 -0.00743913]]
[[ 0.12107693 -0.01905953 -0.0056654 ]]
[[ 0.11041886 -0.02393602 -0.00669138]]
