[[-0.10011502 -0.00751973 -0.02706447]]
[[-0.11661223  0.04922085 -0.02418572]]
[[-0.11989225 -0.087935   -0.03505589]]
[[-0.28639872 -0.09031952 -0.01924253]]
[[-0.00912268 -0.00030845 -0.05993348]]
[[-0.00640169  0.00512798 -0.05644036]]
[[-0.19746338 -0.01391971 -0.02265128]]
[[-0.28258515  0.16931719 -0.01003696]]
[[-0.091303    0.04267534  0.04595297]]
[[-0.06617753  0.08002496  0.04299001]]
[[-0.11464755  0.06949486 -0.02327127]]
[[-0.07629226  0.12101063 -0.02141443]]
[[-0.04125733 -0.10753187 -0.0456229 ]]
[[-0.04662624 -0.18254453 -0.04578202]]
[[-0.00427557 -0.00604339 -0.06067146]]
[[-0.00166973 -0.00133676 -0.05557521]]
[[-0.18266543 -0.27139213 -0.02850979]]
[[-0.93538672 -1.21484707  0.04653141]]
[[-0.33803937  0.09626231  0.06830058]]
[[-0.21430171  0.30988217  0.05642626]]
[[-0.00140012 -0.00016352 -0.02915652]]
[[-0.00048569  0.00149836 -0.02749374]]
[[-0.00397666  0.00056089 -0.05538557]]
[[-0.00154383  0.00460596 -0.05217939]]
[[-1.0144275  -0.10446082  0.06567763]]
[[-0.92396513  1.44315914  0.07609623]]
[[-0.10148629  0.10950092  0.04262512]]
[[-0.04594613  0.12187158  0.03876193]]
[[-0.01017166  0.00640541  0.07051326]]
[[-0.00641827  0.01143001  0.0638333 ]]
[[-0.00396355  0.00655808 -0.05443394]]
[[-0.00161295  0.01073823 -0.05273176]]
[[-0.18345626  0.24204644 -0.01825864]]
[[-0.04237695  0.20237612 -0.02178418]]
[[-0.03997767  0.07398855  0.03867554]]
[[-0.01912962  0.07690596  0.03768954]]
[[-0.03611604  0.1026131  -0.02272984]]
[[-0.01170516  0.09172649 -0.01953682]]
[[-0.00136474 -0.0790882  -0.04594174]]
[[ 0.0128235  -0.09055362 -0.04898918]]
[[ 0.00053748 -0.01249359 -0.06107341]]
[[ 0.00294745 -0.00879824 -0.05902503]]
[[ 0.00038982 -0.11986486 -0.04685822]]
[[ 0.04520942 -0.19205011 -0.05017547]]
[[-0.95406078 -1.50568989  0.15013776]]
[[ 0.00664818 -0.00273309  0.03150501]]
[[ 0.0004184  -0.00240209 -0.02979469]]
[[ 0.00129236 -0.00111099 -0.02795869]]
[[ 0.00064057 -0.0052434  -0.05663328]]
[[ 0.00285766 -0.00182242 -0.05368305]]
[[ 0.00290764 -0.54464647 -0.03948748]]
[[ 0.92601596 -1.42555846 -0.14984928]]
[[-0.96911054  1.26105837  0.127762  ]]
[[ 0.00435718  0.59821616  0.03864456]]
[[-0.00387809 -0.00058942  0.08579613]]
[[ -3.86958058e-05   3.89263545e-03   7.80004640e-02]]
[[  2.87662985e-04   5.51312781e-06  -1.73307705e-02]]
[[ 0.00065592  0.00056151 -0.01720695]]
[[  4.05155247e-04   5.39810600e-05  -2.67397038e-02]]
[[ 0.00128382  0.00127387 -0.02639544]]
[[ 0.00062569  0.00117488 -0.05233277]]
[[ 0.00282002  0.00412717 -0.05081526]]
[[ 0.00109264  0.00934802 -0.03744992]]
[[ 0.93757713  1.23312471 -0.12039725]]
[[-0.05619837  0.21687253  0.03622745]]
[[ 0.00303578  0.14164905  0.03459639]]
[[-0.00361476  0.00788543  0.06875883]]
[[ -9.19613136e-05   1.10736020e-02   6.35330513e-02]]
[[-0.00120321  0.00109354  0.03310874]]
[[-0.0002491   0.00221169  0.03263241]]
[[ 0.00037898  0.00248228 -0.0275124 ]]
[[ 0.00131776  0.00377818 -0.02865149]]
[[ 0.00060633  0.00700761 -0.05080661]]
[[ 0.00283983  0.01011548 -0.05076334]]
[[-0.00079912  0.55908559 -0.03436037]]
[[ 0.04612494  0.19175274 -0.02647303]]
[[-0.01437175  0.09589369  0.03409621]]
[[ 0.00296712  0.07983345  0.03465164]]
[[-0.00313036  0.01421852  0.05981292]]
[[ 0.00018074  0.01676571  0.05854191]]
[[ 0.00049237  0.01328392 -0.05201914]]
[[ 0.00295003  0.01616462 -0.05159117]]
[[ 0.00028785  0.12440563 -0.02381264]]
[[ 0.01249303  0.08779099 -0.02036388]]
[[-0.00641083  0.06846803  0.03490949]]
[[ 0.00347921  0.06210442  0.03501089]]
[[-0.00068682  0.07667328 -0.01951997]]
[[ 0.00711129  0.06565703 -0.01757658]]
[[ 0.03931171 -0.09657276 -0.04819086]]
[[ 0.07978537 -0.11111855 -0.04991914]]
[[ 0.00537293 -0.00482269 -0.05712121]]
[[ 0.00765592 -0.00255862 -0.05591155]]
[[ 0.18627141 -0.22787428 -0.05401002]]
[[ 0.28389127 -0.15315887 -0.0601343 ]]
[[ 0.96619804  1.47594447 -0.083644  ]]
[[ 0.23124947  0.25710665  0.01647346]]
[[ 0.00219468  0.00024345 -0.02730682]]
[[ 0.00314313  0.00109396 -0.02830172]]
[[ 0.00508123  0.0016285  -0.05225031]]
[[ 0.00742355  0.00355001 -0.05241587]]
[[ 1.01555052  0.12233007 -0.13832261]]
[[ 0.28446165  0.10609601 -0.0509882 ]]
[[ 0.06030805  0.23017898  0.0270946 ]]
[[ 0.05417     0.1097145   0.03146831]]
[[ 0.00334319  0.00860697  0.07112618]]
[[ 0.0066335   0.01001231  0.067467  ]]
[[ 0.00499965  0.00752534 -0.05118747]]
[[ 0.00766127  0.00972761 -0.05327099]]
[[ 0.1811728   0.28391625 -0.04402174]]
[[ 0.07622558  0.10253137 -0.02829992]]
[[ 0.0189786   0.10001562  0.03184242]]
[[ 0.02694201  0.07176655  0.03410277]]
[[ 0.0350816   0.10925479 -0.02543639]]
[[ 0.03268126  0.07270654 -0.02289731]]
[[ 0.11661985 -0.05730287 -0.04651341]]
[[ 0.11560848 -0.0365473  -0.04218951]]
[[ 0.01003159  0.00198984 -0.05514137]]
[[ 0.01253364  0.00299596 -0.05571273]]
[[ 0.1948577   0.02880016 -0.04513137]]
[[ 0.11367286  0.023641   -0.03486905]]
[[ 0.11131567  0.12879256  0.02538348]]
[[ 0.07627371  0.06123112  0.03069811]]
[[ 0.11172918  0.09511524 -0.03408987]]
[[ 0.06994811  0.05389865 -0.02913172]]
[[ 0.09552804  0.01623528 -0.03663862]]
[[ 0.07849402  0.01127017 -0.03311585]]
