[[-0.09984533 -0.0097044  -0.03001512]]
[[-0.11639837  0.04732337 -0.02784958]]
[[-0.11895209 -0.09104056 -0.03468082]]
[[-0.28561422 -0.09356201 -0.02022035]]
[[-0.00908052 -0.0008046  -0.06016669]]
[[-0.00636063  0.00466274 -0.05681861]]
[[-0.19686701 -0.01645217 -0.02527273]]
[[-0.28210382  0.16708223 -0.01333612]]
[[-0.14403291  0.05791339  0.05010544]]
[[-0.09758522  0.12403981  0.04570615]]
[[-0.11442848  0.06800129 -0.02729068]]
[[-0.07606161  0.11994937 -0.02549595]]
[[-0.04062835 -0.11007005 -0.0402036 ]]
[[-0.04622735 -0.18570207 -0.04186001]]
[[-0.00424166 -0.00659844 -0.06045789]]
[[-0.00163499 -0.00187602 -0.05554777]]
[[-0.1818564  -0.27467339 -0.02704687]]
[[-0.93479031 -1.21817537  0.04649794]]
[[-1.06122698 -0.14242818  0.15260079]]
[[-0.94470685  1.45529007  0.15081936]]
[[-0.00139412 -0.00031655 -0.02922308]]
[[-0.0004767   0.00135356 -0.0275938 ]]
[[ -3.92507128e-03   6.08436347e-05  -5.55484971e-02]]
[[-0.00149757  0.00413704 -0.05248234]]
[[-1.01374386 -0.10724756  0.06371745]]
[[-0.92339928  1.44072654  0.07342398]]
[[-0.20980393  0.24999383  0.0519777 ]]
[[-0.05354229  0.21560477  0.04089721]]
[[-0.00906852  0.0031569   0.072868  ]]
[[-0.00550584  0.0084116   0.06709842]]
[[-0.00391467  0.00613742 -0.05492213]]
[[-0.00156083  0.010358   -0.05332395]]
[[-0.18299739  0.24037493 -0.02181185]]
[[-0.04193144  0.20115314 -0.02531747]]
[[-0.04792725  0.10644997  0.03899521]]
[[-0.01722921  0.09756172  0.03786401]]
[[-0.03583173  0.10201785 -0.0265506 ]]
[[-0.01138031  0.09147182 -0.022956  ]]
[[-0.00185027 -0.08001635 -0.03873193]]
[[ 0.01203553 -0.09203789 -0.0425233 ]]
[[ 0.0005234  -0.01301912 -0.06046471]]
[[ 0.00293051 -0.00933404 -0.0586198 ]]
[[ 0.00022542 -0.12223194 -0.04104169]]
[[ 0.04483224 -0.19477841 -0.04597147]]
[[-0.02679236 -0.61617005  0.0514043 ]]
[[ 0.93089111 -1.47540015 -0.06999471]]
[[ 0.00042205 -0.00257323 -0.02977834]]
[[ 0.00129901 -0.00127146 -0.02798119]]
[[ 0.00065984 -0.00578331 -0.05640269]]
[[ 0.00287373 -0.00233917 -0.05363433]]
[[ 0.00316219 -0.54784392 -0.03715045]]
[[ 0.92614325 -1.42863913 -0.14913831]]
[[-0.00487529 -0.00174812  0.04123734]]
[[ 0.94656964  1.24382684 -0.0517226 ]]
[[-0.00294604 -0.00462321  0.08123175]]
[[ 0.00056342 -0.00018949  0.0755427 ]]
[[  2.91510327e-04  -6.31581260e-05  -1.73618057e-02]]
[[ 0.00066026  0.00049495 -0.01725079]]
[[  4.14801148e-04  -9.48227163e-05  -2.67959406e-02]]
