[[-0.09968638 -0.0195221  -0.02602824]]
[[-0.11754231  0.03631686 -0.02920572]]
[[-0.1169453  -0.10009599 -0.02062336]]
[[-0.28455573 -0.1053853  -0.01034522]]
[[-0.00909751 -0.00323375 -0.05964546]]
[[-0.00643394  0.00217586 -0.05723608]]
[[-0.19659014 -0.02825844 -0.02102211]]
[[-0.28298052  0.15408488 -0.01555362]]
[[-0.07597652 -0.07583596  0.04710467]]
[[-0.11286985 -0.10098168  0.04666494]]
[[-0.11650838  0.05590819 -0.03488003]]
[[-0.07874761  0.10896136 -0.04025852]]
[[-0.03871394 -0.11524771 -0.01915504]]
[[-0.0451303  -0.19409218 -0.02264928]]
[[-0.00420618 -0.00896189 -0.05826637]]
[[-0.00163083 -0.00437801 -0.05428269]]
[[-0.18032064 -0.28477698 -0.01154165]]
[[-0.93417307 -1.23095408  0.05722997]]
[[-0.0264374  -0.07598886  0.04331891]]
[[-0.02018727 -0.09353695  0.03812333]]
[[-0.0014068  -0.00109747 -0.02910461]]
[[-0.00048398  0.00057564 -0.02768828]]
[[-0.00390418 -0.002455   -0.05505591]]
[[-0.00152666  0.00157458 -0.05288518]]
[[-1.01342358 -0.1206901   0.06818936]]
[[-0.92365872  1.42634096  0.07066375]]
[[-0.05371845 -0.11931381  0.04254892]]
[[-0.06371788 -0.21345776  0.0390298 ]]
[[-0.00912626 -0.01057339  0.06703815]]
[[-0.00629316 -0.00631112  0.07045334]]
[[-0.00397425  0.0035857  -0.05617743]]
[[-0.00161203  0.00787521 -0.05547107]]
[[-0.1842364   0.22685717 -0.03103766]]
[[-0.04300396  0.18911457 -0.04171814]]
[[-0.22844637 -0.30663337  0.06125093]]
[[-0.980308   -1.25358752  0.13344971]]
[[-0.03813124  0.09203996 -0.04731356]]
[[-0.01283369  0.08472228 -0.0479143 ]]
[[-0.00147175 -0.08073673 -0.0169291 ]]
[[ 0.01156013 -0.09518469 -0.02038478]]
[[ 0.00048663 -0.01501201 -0.05684305]]
[[ 0.00284615 -0.01156703 -0.05577264]]
[[ 0.00067254 -0.1276874  -0.01960447]]
[[ 0.04440809 -0.20302041 -0.02663426]]
[[-0.00275463 -0.0618319   0.04079309]]
[[ 0.00611847 -0.06853126  0.03791708]]
[[ 0.00040592 -0.00337697 -0.02927349]]
[[ 0.001287   -0.00206096 -0.02769212]]
[[ 0.00066203 -0.00815916 -0.05430249]]
[[ 0.00283299 -0.00481882 -0.05239091]]
[[ 0.00359871 -0.55848076 -0.02098685]]
[[ 0.92602484 -1.44147225 -0.13819034]]
[[-0.00211535 -0.07876341  0.03875953]]
[[ 0.01353436 -0.09763147  0.03445121]]
[[-0.00233492 -0.01628022  0.05936182]]
[[ 0.00052346 -0.01390088  0.06063519]]
[[ 0.00028825 -0.00041932 -0.01732223]]
[[ 0.00065525  0.0001397  -0.01728327]]
[[ 0.00041446 -0.00086591 -0.02668524]]
[[ 0.00129251  0.00036026 -0.02657789]]
[[ 0.00068814 -0.00187469 -0.05197645]]
[[ 0.00288683  0.00109527 -0.05145696]]
[[ 0.00192832 -0.00767259 -0.03384139]]
[[ 0.93847295  1.21609548 -0.12492429]]
[[-0.00248449 -0.14052942  0.03711278]]
[[ 0.05329332 -0.22828283  0.02913746]]
[[-0.00252781 -0.01035355  0.06372522]]
[[ 0.00062332 -0.00739485  0.06907529]]
[[-0.00115728 -0.0020454   0.03252061]]
[[-0.00025987 -0.00094291  0.03312442]]
[[ 0.00039761  0.00154039 -0.02791521]]
[[ 0.00132787  0.00282739 -0.02930494]]
[[ 0.00068531  0.00403023 -0.05240653]]
[[ 0.00297363  0.0072574  -0.05336531]]
[[ -8.79654209e-05   5.43251670e-01  -4.71289911e-02]]
[[ 0.04762667  0.17802558 -0.04564743]]
[[-0.00207114 -0.59659676  0.04134705]]
[[ 0.95642639 -1.47388484 -0.07963252]]
[[-0.0030178  -0.00304212  0.07728482]]
[[ 0.00060207  0.00121547  0.0852142 ]]
[[ 0.00059056  0.01057911 -0.05560993]]
[[ 0.00310466  0.01375199 -0.05607394]]
[[ 0.00074048  0.11366889 -0.04851869]]
[[ 0.01408997  0.08026644 -0.04796657]]
[[-0.00389631  0.0077529   0.03975749]]
[[ 0.96990512  1.29577876 -0.05610909]]
[[-0.0005259   0.07247248 -0.04902181]]
[[ 0.00842418  0.06445181 -0.04658584]]
[[ 0.03710308 -0.10431097 -0.02156477]]
[[ 0.07690085 -0.12112108 -0.02757878]]
[[ 0.00529122 -0.00770066 -0.05476705]]
[[ 0.00757452 -0.00545916 -0.05455587]]
[[ 0.18501895 -0.24127416 -0.03569949]]
[[ 0.28267101 -0.16765958 -0.04895017]]
[[ 0.02028006 -0.07100708  0.03721584]]
[[ 0.03992647 -0.08179295  0.03382487]]
[[ 0.00220686 -0.00066956 -0.02724756]]
[[ 0.00314607  0.00018573 -0.02848467]]
[[ 0.00511976 -0.00135022 -0.05185463]]
[[ 0.00752589  0.00062323 -0.05302508]]
[[ 1.0159152   0.10594611 -0.13400496]]
[[ 0.28560149  0.0903096  -0.05423446]]
[[ 0.04734011 -0.11034276  0.03320584]]
[[ 0.10157968 -0.13083681  0.02706064]]
[[ 0.00386649 -0.00958433  0.06476442]]
[[ 0.00738919 -0.00771571  0.07158176]]
[[ 0.00516684  0.00459823 -0.05273141]]
[[ 0.00786515  0.00692638 -0.05585484]]
[[ 0.18314593  0.26868056 -0.05525265]]
[[ 0.07930539  0.08929427 -0.04512778]]
[[ 0.21849742 -0.25814232  0.01901071]]
[[ 0.33906673 -0.16581445  0.00387577]]
[[ 0.03787188  0.09879341 -0.04850053]]
[[ 0.03642382  0.06497444 -0.04849353]]
[[ 0.11395827 -0.06953198 -0.02987976]]
[[ 0.11366671 -0.04896359 -0.03233308]]
[[ 0.01005228 -0.00084532 -0.0546973 ]]
[[ 0.01261732  0.00023474 -0.05627923]]
[[ 0.19469549  0.01426755 -0.04081745]]
[[ 0.11476168  0.01007012 -0.03709975]]
[[ 0.06799381 -0.06350217  0.0325037 ]]
[[ 0.09255778 -0.06066041  0.02946492]]
[[ 0.11426407  0.08145924 -0.04312435]]
[[ 0.07346827  0.04205305 -0.04299218]]
[[ 0.09501602  0.00411911 -0.03274873]]
[[ 0.07922844  0.00022676 -0.03460728]]
