c\b	mol	0	1	2	3	4	5	6
0	0	[]	[]	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]	[]	[]
1	0	[]	[]	[]	1.73651117997	[]	[]	[]
1	1	[]	[]	[]	1.97488623226	[]	[]	[]
2	0	[]	[]	1.68700818955	1.48028242917	1.54386411838	[]	[]
2	1	[]	[]	1.67129430852	1.61810385723	1.92715896287	[]	[]
3	0	[]	1.74438343856	1.52562563644	0.91977506304	1.49590594633	1.5864977557	[]
3	1	[]	1.72735020686	1.43844235486	1.42960948886	1.65812055256	1.96929387965	[]
4	0	[]	[]	1.68470573649	1.47821895405	1.54184432717	[]	[]
4	1	[]	[]	1.66808578597	1.61514593185	1.92457633809	[]	[]
5	0	[]	[]	[]	1.73591141953	[]	[]	[]
5	1	[]	[]	[]	1.97413935963	[]	[]	[]
6	0	[]	[]	[]	[]	[]	[]	[]
6	1	[]	[]	[]	[]	[]	[]	[]
