[[-0.81102163 -0.36975045  0.38660641]]
[[-2.46057555  1.80356397  0.02758781]]
[[-0.00624925 -1.84372953  0.49254888]]
[[ 2.16970383 -1.43463304 -0.07186387]]
[[ 0.07273306  0.09009822 -0.55862575]]
[[ 0.12997404  0.18270898 -0.32165723]]
[[ -5.27483068e-05  -2.01657437e-04   2.30111447e-04]]
[[ 1.39896052  1.90349464 -0.91366193]]
[[-0.07278589 -0.09028621  0.55875849]]
[[-0.15728345 -0.22696317  0.61573536]]
[[ 0.00611968  1.84331508 -0.49206671]]
[[ 0.08433795  0.71857391 -0.24013212]]
[[ 0.81089524  0.36930318 -0.38610507]]
[[ 0.33946586  0.16629509 -0.13094253]]
