[[-0.49441108 -0.31421082  0.25912584]]
[[-1.41071998  0.6395425   0.1366592 ]]
[[-0.03079856 -1.06637703  0.29437763]]
[[ 1.14496248 -0.9739462   0.02846276]]
[[ 0.04751408  0.0006897  -0.54398391]]
[[ 0.16214537  0.15372758 -0.39750276]]
[[-0.10680328 -0.35603015  0.13252376]]
[[ 0.93991384 -0.07565176 -0.19862485]]
[[-0.06170452 -0.09852136  0.40581114]]
[[-0.12539251 -0.229816    0.48339322]]
[[-0.77181567 -0.1784664   0.32164695]]
[[ 0.04216451  0.35955106 -0.12025693]]
[[ 0.50410264 -0.09454139 -0.15407517]]
[[ 0.45856328 -0.11740656 -0.07223974]]
