c\b	mol	0	1	2	3	4
0	0	[]	[]	[]	[]	[]
0	1	[]	[]	[]	[]	[]
0	2	[]	[]	[]	[]	[]
0	3	[]	[]	[]	[]	[]
1	0	[]	[]	0.671253118464	[]	[]
1	1	[]	[]	0.775644771883	[]	[]
1	2	[]	[]	0.58601533065	[]	[]
1	3	[]	[]	0.752828798718	[]	[]
2	0	[]	0.645702038447	0.261883436232	0.565757456579	[]
2	1	[]	0.694502048287	0.592103901151	0.753275063487	[]
2	2	[]	0.660763889464	0.498665158229	0.611764810401	[]
2	3	[]	0.712377141756	0.648612384129	0.780866594239	[]
3	0	[]	[]	0.657077008382	[]	[]
3	1	[]	[]	0.761351837793	[]	[]
3	2	[]	[]	0.70026040088	[]	[]
3	3	[]	[]	0.799942292676	[]	[]
4	0	[]	[]	[]	[]	[]
4	1	[]	[]	[]	[]	[]
4	2	[]	[]	[]	[]	[]
4	3	[]	[]	[]	[]	[]
