b\a	mol	0	1	2	3	4
0	0	[]	[]	2.89407700717	[]	[]
0	1	[]	[]	2.62580447578	[]	[]
0	2	[]	[]	2.85943882401	[]	[]
0	3	[]	[]	2.717559701	[]	[]
1	0	[]	2.91038994946	1.81329033771	2.91699150728	[]
1	1	[]	2.69255280937	1.22495364699	2.68770866995	[]
1	2	[]	2.86212352166	2.23127610562	2.91263223975	[]
1	3	[]	2.68724341116	2.09645580554	2.77588014479	[]
2	0	2.9726621443	2.3519463336	0.0	2.35186415905	2.97051063585
2	1	2.91090469359	2.27407389459	0.983868327664	2.26365481971	2.90549018058
2	2	2.9623157945	2.29959950098	2.10700762231	2.35714505278	2.96651312763
2	3	2.97223291364	2.25050808341	2.07550660633	2.311689235	2.97837140192
3	0	[]	2.77554564931	1.68360243499	2.7769512359	[]
3	1	[]	2.86209195366	2.17151205062	2.85130896106	[]
3	2	[]	2.74466880716	2.1711567358	2.77637860178	[]
3	3	[]	2.89492090305	2.23507248255	2.93162022147	[]
4	0	[]	[]	2.75112909149	[]	[]
4	1	[]	[]	2.87626723132	[]	[]
4	2	[]	[]	2.74193880565	[]	[]
4	3	[]	[]	2.91559602687	[]	[]
